City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name,Current Description
0,Makokou,GA,295.07,0.5738,12.8642,WAMY RESIDENCE HOTEL,
2,Foumban,CM,297.62,5.7291,10.9001,Hotel Pekassa De Karche,
3,Nola,IT,285.93,40.922,14.5329,Pamaran Hotel,
6,Paoua,CF,299.27,7.2427,16.4406,Quartier Paoua Elien,
14,Mao,ES,285.15,39.8885,4.2658,ARTIEM Capri,
16,Faya,SA,291.15,18.3851,42.4509,مقبرة ال مجمل,
21,Jalu,LY,289.84,29.0331,21.5482,صاحبة الفخامة,
22,Matay,EG,289.2,28.419,30.7792,Nag Aespen,
25,Abnub,EG,289.15,27.2696,31.1511,Romany Adly Gad,
26,Marawi,PH,298.15,7.9986,124.2928,Derogongan Residence,
27,Ajdabiya,LY,289.3,30.7554,20.2263,Almadina Hotel,
28,Kutum,SD,292.66,14.2,24.6667,Dibbo areaمنطقة دبو,
29,Ofaqim,IL,282.59,31.3141,34.6203,The Negev Experience,
30,Rosetta,EG,288.15,31.4044,30.4164,Green Valley,
31,Kumluca,TR,286.13,36.3703,30.2869,TurkuazKöy,
32,Bafra,TR,282.04,41.5678,35.9069,Sevgi Otel,
35,Hurghada,EG,292.15,27.2574,33.8129,Sea Star Beau Rivage Hotel,
36,Najran,SA,298.15,17.4924,44.1277,محمد هادي ال فطيح,
37,Marsa Matruh,EG,288.15,31.3525,27.2453,Beau Site,
38,Divnoye,RU,276.56,45.9089,43.3547,Motel Manych-Gudilo,
39,Yokadouma,CM,297.91,3.5167,15.05,Hôtel De Ville De Yokadouma,
41,Mbengwi,CM,296.41,6.0167,10.0,Senate Hotel,
43,Nanga Eboko,CM,296.29,4.6833,12.3667,Motel Papi Palace,
44,Meiganga,CM,296.72,6.5167,14.3,DFR HOUSE,
45,Biu,NG,299.03,10.6129,12.1946,Emir's Palace,
47,Bogo,PH,299.17,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City,
48,Moussoro,TD,299.99,13.6408,16.4901,Pharmacie alnadja Moussoro,
49,Melfi,IT,282.04,40.9965,15.6514,HOTEL TERME DI RAPOLLA,
51,Abu Zabad,SD,296.04,12.35,29.25,حامد محمد نور,
52,Pafos,CY,285.15,34.7667,32.4167,Elysium Hotel,
55,Turayf,SA,287.15,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif,
56,Koutsouras,GR,284.82,35.0339,25.9469,The White Houses,
58,Umm Lajj,SA,295.73,25.0213,37.2685,Moon light Furnished Units,
60,Zonguldak,TR,275.93,41.25,31.8333,Süleyman Tez Ev,
61,Aswan,EG,293.24,24.0934,32.907,Nuba Nile,
63,Ierapetra,GR,284.82,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.,
64,Jadu,LY,289.1,31.953,12.0261,سيفاو عبازة,
66,Jiwani,PK,299.61,25.05,61.7417,Al Mumtaz Transport Jiwani,
68,Pauri,IN,287.75,30.15,78.7833,Jatra Heights,
69,Manzil Bu Zalafah,TN,287.15,36.6831,10.5843,Jardin Zouhour,
70,Singarayakonda,IN,298.57,15.25,80.0333,srinu tiffin shop,
71,Narasannapeta,IN,298.2,18.4167,84.05,G.lingaraju home,
72,Sakakah,SA,288.15,29.9697,40.2064,Fakhamat Al Orjoana Apartment,
73,Cetateni,RO,277.59,45.2,25.1833,Casa de Vacanta Eva,
74,Serik,TR,287.04,36.9169,31.0989,Rixos Premium Belek,
75,Aktau,KZ,279.15,43.65,51.2,Silk Way Hotel,
76,Sawakin,SD,296.65,19.1059,37.3321,فندق الدويم,
77,Mecca,SA,296.66,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel",
78,Kargil,IN,274.19,34.5667,76.1,Caravan Sarai,
79,Keti Bandar,PK,298.98,24.1447,67.4497,Haji laloo memon house,
80,Bardiyah,LY,287.12,31.7561,25.0865,بورتو بردية,
81,Naousa,GR,285.37,40.6329,22.0534,Filistor,
82,Pasni,PK,298.87,25.2631,63.471,Kashmiri Hotal,
83,Lasa,IT,288.15,46.6166,10.7002,Pension Feldgärtenhof,
84,Taloqan,AF,279.95,36.7361,69.5345,Saraisang street,
85,Kogon,UZ,280.15,39.7228,64.5517,"""AFROSIYOB"" HOSTEL",
86,Shihezi,CN,282.19,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square,
87,Iskilip,TR,279.26,40.7353,34.4739,İskilip Öğretmenevi,
88,Urumqi,CN,283.15,43.801,87.6005,Hua Ling Grand Hotel Urumqi,
89,Derbent,RU,281.55,42.0678,48.2899,Elit,
90,Yining,CN,289.83,29.0361,114.5636,Xiushui Hotel,
91,Korla,CN,287.3,41.7597,86.1469,Gulisitan Hotel,
92,Kashi,CN,285.15,39.4547,75.9797,帕米尔青年旅舍,
93,Panjakent,TJ,280.15,39.4952,67.6093,Salom Hostel,
94,Kyzyl-Suu,KG,276.68,42.3414,78.0056,Gostinitsa Nur-Ordo,
95,Kuryk,KZ,279.69,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .,
97,Akdepe,TM,280.15,42.0551,59.3788,Мой дом,
98,Kuytun,RU,263.8,54.3419,101.5036,Gostinitsa Tsentral'naya,
99,Ushtobe,KZ,281.21,45.2514,77.9838,"Gostinitsa ""Diyar""",
100,Zhezkazgan,KZ,271.66,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.,
101,Altay,CN,276.32,47.8667,88.1167,Jinqiao Hotel,
102,Balkhash,KZ,273.76,46.844,74.9804,Family,
103,Onguday,RU,273.31,50.75,86.15,"Gostinitsa ""Motel'""",
105,Yermolayevo,RU,268.81,52.7167,55.8,"Sanatorii ""Zdorov'e""",
106,Derzhavinsk,KZ,262.11,51.1,66.3167,Ooo.khim Baza,
107,Qostanay,KZ,265.15,53.1667,63.5833,Hotel Fessla,
109,Serebryansk,KZ,276.15,49.6925,83.2892,"Gostinitsa ""Vodoley""",
110,Atasu,KZ,270.88,48.6814,71.6433,Dostyk,
111,Tashtagol,RU,273.84,52.7657,87.8894,коттедж,
115,Kondinskoye,RU,265.49,59.6481,67.41,Gostinitsa,
116,Kosh-Agach,RU,266.32,50.0,88.6667,Fermerskiy Dom v Kosh-Agache,
117,Kargat,RU,272.03,55.1956,80.2811,Kargat,
119,Ayagoz,KZ,273.71,47.9714,80.4392,Gostinitsa Nur,
120,Tarko-Sale,RU,253.4,64.9225,77.785,Yubileynaya,
121,Strezhevoy,RU,261.15,60.7333,77.5889,Sibiryachka,
122,Turukhansk,RU,253.05,65.8167,87.9833,"ООО ""Туруханская пушнина""",
123,Zdvinsk,RU,272.27,54.7021,78.661,Hotel Siberia,
124,Talnakh,RU,248.26,69.4865,88.3972,Talnakh Hotel,
125,Chulym,RU,272.07,55.0997,80.9572,"""U Tat'yany""",
127,Norilsk,RU,248.41,69.3535,88.2027,NordHostel,
128,Yeniseysk,RU,272.67,58.4497,92.1703,"""Domino""",
130,Dudinka,RU,250.22,69.4058,86.1778,Hotel Viktoria,
131,Aktash,RU,263.94,50.3,87.7333,Goluboye Geyzernoye Ozero,
135,Hami,CN,287.78,42.8,93.45,Laoyutang Resort,
136,Khatanga,RU,253.83,71.9667,102.5,"Gostinitsa ""Zapolyar'ye""",
137,Motygino,RU,272.81,58.1831,94.7592,"Gostinitsa ""Uyut""",
138,Orlik,RU,258.83,52.5178,99.825,Gostevoy Dom Mini Gostinitsa,
140,Moron,AR,297.15,-34.6534,-58.6198,Hotel Morón,
141,Erzin,TR,286.48,36.9559,36.2,Artemis Otel,
144,Severobaykalsk,RU,264.18,55.65,109.3167,Hostel03RUS,
145,Zhigansk,RU,254.4,66.7697,123.3711,Gostinichnyy Kompleks Aylgy,
146,Tiksi,RU,256.28,71.6872,128.8694,Arktika,
148,Boguchany,RU,270.03,58.3814,97.4531,Uyut,
149,Terney,RU,275.21,45.0503,136.6092,"Hotel ""Ternay""",
150,Suntar,RU,256.33,62.1444,117.6319,Дом у Мамы,
151,Ayan,RU,263.66,56.45,138.1667,Gostinitsa,
152,Esso,RU,256.45,55.9333,158.7,Paramushir Tur,
154,Verkhnevilyuysk,RU,258.87,63.4453,120.3167,Gostinitsa Mila,
155,Pevek,RU,243.6,69.7008,170.3133,Severnoye Zoloto,
156,Nikolskoye,RU,278.15,59.7035,30.7861,Tourist House - Sablino,
159,Beringovskiy,RU,261.11,63.05,179.3167,Beringgorski,
160,Tura,IN,295.67,25.5198,90.2201,Hotel RIKMAN Continental,
165,Zeya,RU,271.49,53.75,127.2667,Kapital Inn,
166,Skovorodino,RU,271.42,53.9833,123.9167,Лесная Застава,
167,Deputatskiy,RU,255.51,69.3,139.9,Baza Otdykha,
168,Cherskiy,RU,250.22,68.75,161.3,Gostinitsa,
170,Anadyr,RU,263.15,64.75,177.4833,"Гостиница ""Анадырь""",
171,Kachug,RU,264.89,53.9606,105.8817,"The hotel ""Empire""",
172,Longyearbyen,SJ,273.15,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen",
